Log_ID,Log_Date,Visitor_Count,Total_Sales,Trash_Level,Notes,Created_At,Updated_At
LOG00001,2024-03-05 02:34:21,34,118.65,medium,Spot spot available gathering access central secure space service reserve,2024-09-04 09:34:01,2024-02-15 08:47:51
LOG00002,2024-09-07 18:14:21,273,1388.78,low,Reserve nearby book spot meeting spot nearby gathering area community,2024-10-02 16:41:33,2025-01-21 05:43:21
LOG00003,2023-11-16 11:56:43,8,435.93,high,Event community facility nearby event public gathering meeting facility meeting,2022-05-06 22:51:18,2024-07-10 20:51:02
LOG00004,2025-12-09 05:26:28,224,1578.55,medium,Event space community friendly spot available family secure community area,2024-04-27 18:35:03,2024-09-16 08:50:47
LOG00005,2022-01-29 05:30:53,907,1805.71,low,Gathering access friendly available community family event nearby central event,2024-07-12 11:46:12,2025-08-02 06:46:28
LOG00006,2022-06-29 06:13:32,607,1473.89,medium,Event gathering area secure access secure open community book facility,2023-12-26 18:57:24,2024-07-10 02:49:49
LOG00007,2023-06-08 16:49:07,474,1779.86,high,Spot community access space event open reserve spot open access,2022-12-11 03:36:12,2025-10-24 22:08:11
LOG00008,2025-09-14 06:13:22,69,705.14,high,Friendly service central reserve book spot access friendly service area,2024-01-31 12:05:57,2025-07-17 20:02:48
LOG00009,2022-06-17 21:25:41,901,625.89,high,Facility nearby open book gathering service reserve friendly friendly central,2024-09-07 19:28:40,2025-12-17 21:59:10
LOG00010,2023-03-19 02:26:43,560,1958.18,high,Central service spot family secure meeting nearby event space space,2024-11-18 05:01:41,2024-06-21 17:21:31
LOG00011,2022-11-29 00:02:39,55,355.26,low,Available service available secure area book open meeting meeting facility,2023-07-25 23:50:30,2024-08-04 04:47:39
LOG00012,2024-12-10 03:59:39,67,842.92,medium,Spot reserve reserve book reserve reserve public available nearby meeting,2022-11-02 07:58:27,2024-05-14 04:45:15
LOG00013,2024-06-17 18:07:57,367,1700.97,low,Book public gathering open family friendly service access family access,2024-03-21 07:10:26,2024-01-03 02:05:28
LOG00014,2023-12-07 21:39:30,236,1869.81,medium,Facility gathering central space service public space community open spot,2024-05-01 02:41:42,2025-04-25 10:52:09
LOG00015,2024-02-14 22:08:27,41,1721.2,low,Spot nearby area central community area nearby service meeting available,2024-03-13 05:54:20,2024-06-03 20:39:41
LOG00016,2022-06-16 07:23:30,961,237.03,medium,Community space access family nearby access nearby gathering nearby family,2022-03-25 13:57:02,2024-08-27 14:20:42
LOG00017,2022-11-10 03:03:44,584,1024.29,medium,Gathering space spot friendly friendly event community nearby gathering open,2023-09-20 22:00:53,2024-07-12 08:10:54
LOG00018,2025-03-08 15:10:35,352,17.07,high,Available open open secure gathering access secure space nearby meeting,2024-04-21 05:00:15,2024-12-17 23:49:52
LOG00019,2025-02-10 11:40:16,272,1347.01,low,Book family available nearby service facility nearby nearby available reserve,2024-04-14 05:22:15,2025-10-16 08:44:30
LOG00020,2023-09-30 03:04:53,673,1201.57,high,Gathering area spot secure family reserve nearby meeting facility nearby,2024-01-19 02:05:50,2025-01-08 19:21:21
LOG00021,2023-04-29 08:11:19,251,521.48,low,Central community book space reserve gathering book facility community nearby,2023-07-01 13:27:49,2025-04-23 14:12:51
LOG00022,2025-11-13 20:31:27,691,537.13,medium,Friendly access reserve reserve nearby reserve central central event open,2023-05-07 15:53:44,2025-01-14 20:32:46
LOG00023,2024-08-25 09:51:41,402,773.32,high,Spot service nearby space area meeting space event gathering service,2022-01-17 20:51:03,2024-12-06 22:30:45
LOG00024,2023-09-20 18:29:50,89,1629.53,low,Friendly spot event central spot gathering secure open family area,2024-07-17 10:03:19,2024-05-19 08:43:24
LOG00025,2024-01-24 21:25:36,121,531.39,medium,Public secure space book meeting service open friendly open access,2022-08-27 10:57:32,2024-11-20 11:14:54
LOG00026,2023-03-14 02:01:58,463,1133.14,low,Book facility public central central community available reserve facility service,2023-12-31 06:04:50,2024-05-25 04:22:41
LOG00027,2022-06-12 13:24:41,747,1097.97,low,Central spot event area secure book reserve open family service,2024-08-01 09:27:27,2024-09-30 23:41:00
LOG00028,2025-10-22 18:08:01,49,224.86,low,Available open available secure community service friendly family secure area,2024-06-29 16:51:00,2025-04-08 04:48:28
LOG00029,2025-03-28 15:39:17,409,1363.94,medium,Open facility public central available community friendly reserve secure secure,2022-05-09 00:53:42,2025-01-11 11:51:01
LOG00030,2025-08-22 18:54:05,674,1968.17,low,Community open family open public event event book central public,2022-02-24 21:59:55,2024-11-04 08:15:15
LOG00031,2025-03-20 04:29:36,787,1836.95,medium,Service available space nearby central open open available gathering open,2024-03-11 06:24:30,2024-01-28 21:52:45
LOG00032,2025-08-13 06:47:23,589,1452.51,medium,Friendly event reserve nearby gathering family book area area open,2024-06-25 08:15:32,2025-12-17 22:25:33
LOG00033,2023-01-25 19:00:47,617,1215.85,low,Meeting family book secure friendly area gathering public access space,2023-12-18 01:15:55,2025-04-25 14:27:28
LOG00034,2022-07-07 01:46:56,564,1952.25,low,Service gathering facility nearby friendly secure secure open community community,2022-09-13 05:40:43,2025-02-09 03:37:57
LOG00035,2023-12-27 23:28:36,865,1904.3,high,Area nearby book available open space family book secure access,2023-06-21 19:26:49,2024-09-21 14:39:21
LOG00036,2024-09-06 07:17:34,332,885.23,medium,Public area nearby area book open nearby central service available,2023-08-22 09:14:20,2024-06-06 12:36:04
LOG00037,2025-02-21 20:36:36,157,1434.71,high,Nearby available open reserve gathering space open family nearby event,2024-02-01 23:53:14,2024-02-20 14:11:07
LOG00038,2023-05-12 23:08:07,809,1444.12,low,Space available service meeting book facility public area facility event,2023-09-17 04:26:34,2025-10-30 20:27:01
LOG00039,2023-10-26 05:24:23,13,1776.96,low,Area gathering access space friendly book area secure facility gathering,2022-05-10 11:25:34,2024-10-10 17:20:09
LOG00040,2022-04-03 13:09:46,326,502.85,low,Friendly central book gathering access reserve space spot central event,2024-05-27 09:53:21,2024-01-18 20:44:15
LOG00041,2025-10-05 03:19:30,590,1441.79,high,Nearby spot facility facility secure space secure secure community open,2022-11-21 00:32:34,2024-03-13 22:40:25
LOG00042,2025-08-28 18:03:48,98,271.91,high,Space event central spot friendly access central access service available,2024-04-11 01:19:22,2025-08-02 19:02:59
LOG00043,2024-08-29 07:51:01,75,329.95,medium,Family area friendly nearby open access gathering friendly facility event,2024-12-22 19:28:12,2025-09-28 17:17:59
LOG00044,2025-08-21 19:49:54,430,704.83,high,Central central book central book event public space friendly event,2023-01-21 01:07:27,2025-06-08 21:03:08
LOG00045,2025-07-28 12:11:32,186,466.35,low,Community public space secure friendly facility gathering nearby spot facility,2023-08-05 17:28:26,2024-01-08 01:49:05
LOG00046,2022-01-03 05:06:26,430,1936.34,medium,Gathering event book access access spot spot central family space,2023-02-17 14:02:28,2024-12-21 15:31:59
LOG00047,2025-11-15 01:13:46,263,1715.8,low,Community area event area open spot gathering meeting access open,2024-08-09 16:04:12,2024-03-21 04:00:06
LOG00048,2025-07-24 20:35:12,665,716.19,high,Book area area book spot reserve open event open open,2024-04-26 07:30:49,2025-03-12 10:54:43
LOG00049,2023-04-26 02:51:11,873,628.03,medium,Central available spot spot event gathering central access access meeting,2023-11-08 09:31:44,2024-10-26 08:03:40
LOG00050,2023-09-22 09:22:17,804,145.99,medium,Available gathering central spot friendly area reserve family meeting facility,2023-04-09 20:55:55,2024-10-03 14:55:28
LOG00051,2023-06-25 00:37:31,538,1518.14,high,Book open area spot service public reserve reserve area spot,2024-12-27 23:23:39,2025-06-18 21:12:47
LOG00052,2023-07-07 03:37:55,255,315.39,low,Nearby friendly access space open family friendly facility event family,2023-12-14 07:00:59,2024-10-20 22:56:54
LOG00053,2025-12-24 15:01:46,379,673.36,high,Public friendly community community event spot secure gathering space reserve,2023-04-03 20:37:41,2024-02-25 00:59:49
LOG00054,2022-10-17 12:57:11,109,272.72,low,Area family event gathering gathering reserve gathering event event book,2024-08-23 00:05:03,2025-07-22 15:39:52
LOG00055,2022-06-11 20:53:11,624,436.8,low,Meeting gathering meeting meeting event gathering space area service gathering,2023-02-24 10:47:59,2024-07-06 06:56:08
LOG00056,2024-04-14 05:44:13,955,1341.5,low,Community area event meeting meeting area public event book reserve,2024-05-01 18:21:57,2025-12-10 23:57:29
LOG00057,2024-03-22 19:40:14,851,56.04,high,Friendly nearby book reserve family spot meeting friendly nearby open,2022-07-03 23:32:35,2025-11-09 17:44:30
LOG00058,2024-06-16 10:24:52,65,931.63,low,Nearby event secure space area friendly secure central open secure,2023-07-29 15:22:08,2025-02-04 12:19:06
LOG00059,2023-01-07 16:19:39,769,673.55,low,Open public nearby available area public public access nearby area,2022-01-21 08:21:50,2024-01-23 07:59:25
LOG00060,2023-02-09 09:14:04,418,936.89,low,Reserve public central friendly gathering secure access access friendly available,2023-12-13 11:28:32,2024-09-12 02:03:47
LOG00061,2022-12-22 10:07:17,657,740.39,low,Space central central reserve spot meeting facility area area reserve,2022-09-27 01:41:56,2024-05-10 19:40:02
LOG00062,2023-08-30 16:41:30,69,1893.1,high,Secure friendly central community facility open open friendly meeting family,2022-04-30 15:59:46,2025-02-27 09:25:40
LOG00063,2025-09-14 19:53:46,473,1459.29,low,Secure facility available facility secure access available secure central open,2023-06-25 01:49:19,2025-01-30 13:05:54
LOG00064,2025-08-03 19:43:11,232,1073.65,medium,Open book available event family space open spot secure spot,2023-12-04 14:01:39,2025-02-07 19:26:03
LOG00065,2023-08-01 09:16:26,936,1014.27,high,Public area area open spot central friendly space space nearby,2022-09-02 19:19:48,2025-04-13 18:41:47
LOG00066,2022-03-27 08:34:54,713,693.31,high,Spot secure reserve community central nearby space family family facility,2022-03-15 22:54:40,2024-08-18 21:46:55
LOG00067,2022-11-06 12:50:05,106,1175.51,high,Available book open event family friendly facility open public facility,2024-03-05 09:16:01,2024-09-12 08:01:16
LOG00068,2025-02-15 16:32:39,186,327.1,medium,Family public public open book book meeting family gathering nearby,2023-02-04 00:03:17,2025-12-09 19:38:43
LOG00069,2023-02-05 07:22:03,999,579.79,medium,Access central community service service service spot event meeting community,2022-12-07 00:22:33,2025-01-18 22:20:58
LOG00070,2025-10-31 13:44:42,784,1014.97,medium,Space friendly event friendly access meeting reserve open access book,2022-11-24 21:45:46,2024-11-20 15:04:38
LOG00071,2023-04-23 09:45:28,189,904.7,medium,Facility friendly open gathering open access family event space secure,2022-10-02 01:00:40,2025-10-31 13:25:50
LOG00072,2025-03-18 05:44:25,154,1185.06,low,Space central nearby friendly area open event friendly reserve access,2024-06-11 08:53:49,2025-04-19 05:36:47
LOG00073,2025-08-15 14:52:36,176,1653.34,high,Meeting friendly open access space book available community book event,2023-02-03 07:27:18,2024-04-19 08:07:13
LOG00074,2025-09-02 19:35:57,778,1702.67,low,Meeting service family reserve open secure space family space secure,2022-06-06 13:32:53,2024-10-30 18:37:05
LOG00075,2025-09-19 04:06:05,728,744.98,low,Family service service nearby meeting community friendly public event spot,2022-04-30 14:10:47,2024-11-12 11:07:34
LOG00076,2022-10-01 00:02:05,43,1589.22,low,Spot service central access service area event event reserve gathering,2024-04-02 10:15:32,2025-02-12 11:18:56
LOG00077,2022-09-01 21:41:31,445,1448.44,low,Meeting open available reserve access public space open event space,2023-08-06 05:56:17,2025-09-18 09:12:32
LOG00078,2024-12-25 07:53:57,814,1945.16,medium,Reserve central central spot family family space family access secure,2024-04-12 21:24:47,2025-09-16 21:37:44
LOG00079,2025-06-09 10:06:36,589,1381.31,low,Book service open reserve community area access access reserve reserve,2022-01-05 02:16:17,2024-01-06 12:39:51
LOG00080,2023-02-07 05:52:21,552,673.32,high,Gathering family community available event open area service area reserve,2023-12-29 20:08:22,2025-12-06 05:53:32
LOG00081,2024-05-05 22:25:33,175,1319.97,high,Friendly space facility service access secure friendly central family open,2023-02-28 18:15:45,2025-09-16 14:01:50
LOG00082,2025-10-10 07:25:18,219,1629.11,medium,Central space event public available service secure secure access gathering,2022-08-03 09:01:23,2025-03-20 20:06:11
LOG00083,2023-09-17 03:57:22,0,1946.29,low,Open service open central reserve open book secure reserve area,2023-01-18 16:47:15,2025-09-06 02:18:16
LOG00084,2024-12-18 17:21:44,333,1416.49,high,Central community nearby facility gathering book access available gathering spot,2022-01-13 23:06:45,2025-07-05 19:01:44
LOG00085,2022-07-25 23:49:05,832,532.8,low,Available facility access access facility service public nearby access family,2023-05-21 19:41:52,2025-12-10 10:52:58
LOG00086,2023-12-18 18:06:45,182,1468.85,low,Nearby secure open gathering gathering nearby gathering gathering open family,2022-07-12 05:02:15,2024-11-27 16:19:08
LOG00087,2023-02-23 11:12:56,631,1014.46,high,Family open event available book available community access meeting public,2022-02-16 16:12:13,2024-10-01 22:50:34
LOG00088,2024-08-31 05:11:46,783,1234.69,medium,Spot nearby space access available facility spot spot spot event,2024-10-16 09:16:51,2025-07-26 12:48:49
LOG00089,2025-11-05 22:29:37,871,1141.96,medium,Meeting nearby open available service event access area secure service,2023-12-05 07:30:34,2025-02-12 21:10:21
LOG00090,2025-01-03 19:24:49,109,1994.48,medium,Friendly service meeting event friendly open available secure family event,2022-12-17 04:18:21,2024-02-02 05:58:19
LOG00091,2024-03-27 05:04:49,984,917.36,medium,Access spot central community service meeting secure gathering public area,2023-01-25 01:29:53,2024-12-03 17:33:57
LOG00092,2023-09-17 19:41:31,564,473.92,high,Reserve meeting family nearby spot access family community central access,2024-01-29 00:27:47,2024-02-18 00:01:22
LOG00093,2023-03-12 01:40:19,695,689.83,medium,Friendly access spot family spot available community nearby gathering meeting,2023-06-19 20:34:59,2024-07-15 15:57:25
LOG00094,2025-01-13 10:42:40,442,897.65,low,Service facility reserve community public facility access available community public,2023-02-22 15:34:23,2025-01-16 04:28:25
LOG00095,2022-04-08 08:24:27,277,1837.87,medium,Central meeting available central gathering meeting event access central access,2024-02-06 06:00:05,2024-11-04 01:24:21
LOG00096,2024-02-13 05:09:41,806,1556.24,low,Event event spot family public central friendly open family public,2022-01-17 12:04:47,2024-08-29 07:50:40
LOG00097,2025-07-24 23:34:31,675,589.79,low,Meeting event central event meeting friendly gathering area access open,2023-04-20 19:27:21,2024-08-18 11:22:45
LOG00098,2022-01-13 17:48:27,850,163.67,low,Meeting reserve area open secure family space reserve gathering book,2022-07-07 02:28:31,2025-04-28 08:37:21
LOG00099,2025-08-03 05:12:47,648,1939.82,medium,Open friendly service service area event event book spot open,2023-09-18 06:12:03,2025-11-28 12:36:27
LOG00100,2022-10-14 11:22:56,103,812.16,high,Event gathering space space event space family community event space,2024-07-06 16:32:00,2024-11-10 09:48:10
