Feedback_ID,Rating,Comments,Submitted_At,Created_At,Updated_At
FB00001,3,Open available meeting spot event community space event facility public secure gathering,2022-02-22 22:53:49,2024-06-08 23:31:55,2024-11-27 14:24:03
FB00002,2,Event secure community meeting spot spot family space reserve public space space,2022-11-07 03:43:22,2024-12-06 05:56:54,2025-12-31 08:33:23
FB00003,1,Friendly nearby event access friendly facility service service available gathering open secure,2023-03-01 16:19:45,2022-11-22 04:11:45,2024-09-24 08:16:45
FB00004,2,Space book community available book facility community friendly central nearby public event,2024-03-04 23:05:42,2024-03-21 00:42:03,2025-06-06 10:32:43
FB00005,4,Community reserve access space area community area facility event space family service,2022-12-03 14:27:39,2023-03-12 05:32:36,2025-07-03 00:16:03
FB00006,5,Meeting spot service open area available event event meeting public meeting community,2025-05-20 23:43:01,2024-11-14 14:46:14,2024-07-28 06:43:46
FB00007,1,Community secure reserve family area spot reserve secure book family secure gathering,2022-04-22 23:35:12,2023-04-16 20:38:17,2024-09-15 07:53:37
FB00008,5,Community community secure family area central gathering event nearby available open facility,2025-02-22 21:43:35,2023-08-08 09:02:53,2024-03-20 22:26:28
FB00009,1,Family family available family central central event gathering spot open space area,2023-01-26 15:24:25,2024-02-03 02:46:14,2024-10-13 15:12:00
FB00010,1,Meeting community public public facility central nearby central public available nearby friendly,2024-09-02 06:21:22,2022-01-30 04:05:56,2024-03-29 08:32:56
FB00011,4,Family spot spot meeting reserve facility reserve open space book community facility,2024-08-11 15:00:57,2022-12-25 00:28:59,2025-08-13 01:36:11
FB00012,1,Nearby family reserve reserve area meeting book nearby open book secure nearby,2022-04-01 20:30:21,2024-06-10 20:21:01,2025-12-20 17:47:12
FB00013,2,Reserve reserve meeting space gathering secure service gathering central reserve service event,2025-08-02 12:37:34,2024-04-13 06:20:01,2025-08-17 14:37:42
FB00014,3,Facility event meeting secure friendly facility service gathering access available family event,2024-01-05 23:30:02,2024-08-13 16:24:43,2025-07-06 05:58:52
FB00015,1,Event central nearby public event available reserve family spot nearby friendly secure,2024-03-22 02:58:34,2024-05-08 04:04:24,2025-05-28 19:48:22
FB00016,1,Service spot meeting spot central reserve book friendly facility event secure gathering,2024-03-19 19:02:46,2024-03-15 07:58:34,2025-08-13 12:47:03
FB00017,4,Book nearby area available open book friendly reserve family nearby friendly facility,2022-05-28 11:09:40,2023-05-11 14:47:10,2024-11-06 07:37:06
FB00018,5,Available nearby open community meeting area secure book space facility public central,2025-09-16 14:40:22,2022-01-22 21:45:23,2024-11-03 12:29:39
FB00019,4,Gathering event available central available spot book nearby facility gathering meeting facility,2024-02-25 19:37:30,2022-07-20 15:23:24,2025-12-06 21:22:35
FB00020,5,Family central book nearby gathering nearby friendly space meeting space area secure,2025-07-16 03:25:21,2024-07-20 13:49:47,2024-12-11 08:47:17
FB00021,5,Nearby community event friendly family area access community public family friendly central,2024-06-29 02:30:57,2024-10-25 06:35:54,2025-04-19 10:00:10
FB00022,5,Gathering central book community spot book facility central meeting open meeting event,2022-08-13 05:38:09,2022-06-07 07:14:59,2025-05-08 17:42:13
FB00023,2,Community friendly secure central friendly community open event book secure area access,2025-12-06 04:13:36,2022-07-27 05:59:12,2024-05-22 04:48:21
FB00024,5,Spot access gathering book community service book available public facility meeting spot,2024-05-14 02:26:13,2022-05-14 03:10:35,2024-09-26 13:01:16
FB00025,4,Access central central family public open spot book access nearby gathering meeting,2022-05-17 23:53:37,2023-01-15 21:11:39,2025-02-27 04:13:04
FB00026,5,Community area event reserve gathering gathering service community service meeting service event,2022-10-08 11:38:01,2023-05-15 17:29:25,2024-08-06 06:52:08
FB00027,4,Facility area open spot available family space book family public friendly facility,2022-05-29 20:36:47,2022-12-04 08:59:43,2025-10-03 15:03:19
FB00028,3,Central secure access friendly community event gathering open reserve gathering access secure,2023-04-06 04:38:08,2024-09-08 22:23:15,2025-06-05 14:48:04
FB00029,2,Area service facility space spot access spot reserve friendly friendly community meeting,2023-07-30 16:54:43,2023-12-01 11:02:59,2025-07-02 22:02:17
FB00030,3,Central family facility facility friendly secure spot spot book spot friendly public,2023-11-22 03:18:45,2024-09-29 12:28:00,2025-06-29 18:49:23
FB00031,5,Available meeting meeting meeting meeting service event central central spot event event,2023-11-18 18:50:52,2024-04-22 10:08:26,2024-09-27 21:45:49
FB00032,4,Book open available friendly secure book open book reserve spot area facility,2024-12-01 06:18:49,2022-08-29 10:36:42,2025-10-15 08:59:38
FB00033,2,Spot available event family secure gathering gathering reserve central facility event meeting,2022-05-28 09:11:40,2022-09-12 13:42:36,2025-07-17 14:18:41
FB00034,1,Space secure meeting facility central spot secure service access meeting nearby available,2024-09-29 21:40:23,2022-08-10 17:20:38,2025-03-23 14:05:09
FB00035,3,Public open gathering secure space secure meeting service meeting friendly central book,2023-02-24 01:27:14,2022-05-03 00:21:31,2024-04-24 12:17:30
FB00036,5,Reserve meeting area area available friendly central gathering area community spot friendly,2022-12-18 13:57:16,2023-02-21 19:43:23,2025-09-23 00:38:05
FB00037,2,Space reserve nearby meeting facility space secure area facility open open area,2022-08-08 00:06:55,2023-05-05 11:13:54,2025-03-21 21:06:14
FB00038,5,Secure access area secure access access open family family friendly community friendly,2023-02-25 17:53:44,2024-06-13 19:04:33,2024-12-16 11:43:35
FB00039,1,Facility available secure available gathering reserve available book gathering friendly area event,2024-04-09 09:58:52,2023-05-25 10:34:59,2024-08-24 13:48:54
FB00040,5,Family nearby book spot available space reserve community spot gathering community access,2024-07-01 15:26:32,2022-07-03 15:55:25,2024-09-18 12:40:43
FB00041,2,Meeting central meeting open area spot service service open community gathering community,2023-04-14 03:16:32,2022-11-22 03:21:48,2025-09-22 20:07:39
FB00042,1,Meeting service meeting public public access family open access open space family,2025-06-25 01:53:54,2022-12-27 10:29:40,2025-07-15 17:07:16
FB00043,4,Family area secure open reserve space public secure open public facility friendly,2023-01-02 05:33:37,2024-12-28 06:48:05,2024-09-08 00:19:06
FB00044,3,Family friendly service community service space public community open public family secure,2025-03-21 10:10:05,2024-08-05 08:56:56,2025-04-10 06:22:36
FB00045,1,Reserve open available community nearby public meeting service facility friendly spot reserve,2024-12-11 16:59:20,2024-11-30 12:53:11,2025-09-12 21:01:30
FB00046,4,Friendly service access service facility secure area spot gathering meeting available access,2024-02-09 10:54:18,2024-02-05 00:52:09,2024-11-18 17:44:21
FB00047,2,Friendly area friendly friendly access spot friendly public friendly gathering public central,2024-06-18 09:12:30,2024-09-23 14:32:09,2025-04-22 16:56:15
FB00048,3,Family facility access space central family central meeting space facility gathering book,2024-06-06 02:50:39,2023-08-26 12:55:00,2025-06-08 20:05:00
FB00049,4,Community nearby secure space event event service community public reserve spot space,2024-11-09 07:57:44,2024-12-03 13:31:02,2024-01-25 16:19:27
FB00050,4,Event available event event gathering secure spot family friendly access service book,2025-01-27 20:37:12,2024-11-02 02:26:59,2024-06-06 13:45:35
FB00051,3,Book access reserve meeting public central space gathering gathering community event nearby,2023-02-03 15:13:57,2023-02-01 15:12:14,2024-06-04 15:32:36
FB00052,5,Spot nearby area nearby open community reserve friendly area central open book,2022-08-22 02:54:41,2024-07-30 12:28:43,2025-09-23 13:32:54
FB00053,4,Nearby meeting spot family secure event book service book secure spot book,2025-05-01 08:55:51,2023-04-09 00:48:33,2025-03-20 17:35:59
FB00054,3,Event service facility reserve access nearby event family public public area friendly,2023-05-25 16:54:22,2022-11-10 03:35:23,2025-12-15 19:44:28
FB00055,5,Gathering reserve access event space open facility central space event family access,2024-06-04 05:36:31,2024-04-28 17:13:39,2024-02-01 12:09:09
FB00056,3,Public area family facility nearby spot access secure meeting available open open,2023-11-01 21:36:24,2024-02-11 03:01:03,2024-04-13 02:59:20
FB00057,1,Friendly community service facility space nearby secure available nearby community open public,2024-01-22 13:00:25,2022-06-29 01:28:19,2024-06-18 11:16:41
FB00058,3,Space nearby space community community central friendly family secure facility meeting meeting,2024-12-13 02:36:35,2023-08-06 05:02:48,2024-03-07 16:49:59
FB00059,5,Family open friendly service facility area meeting gathering event open facility facility,2024-11-08 11:09:20,2023-08-25 23:47:34,2025-12-23 14:36:12
FB00060,4,Secure area nearby event event area public open space spot public public,2024-07-08 04:35:29,2022-11-02 02:40:26,2024-10-16 12:06:51
FB00061,3,Spot reserve access public available central spot spot central area facility community,2022-11-17 14:13:42,2023-01-28 12:33:51,2024-03-08 01:46:51
FB00062,1,Secure secure gathering secure facility nearby friendly family access secure reserve reserve,2025-09-10 11:27:39,2023-01-12 00:16:15,2024-06-17 09:07:26
FB00063,4,Space family event community public service facility meeting area open community community,2024-01-09 12:29:12,2024-02-03 12:16:34,2024-01-03 03:48:29
FB00064,4,Friendly nearby area public book family reserve meeting gathering service spot central,2023-02-07 15:50:08,2022-03-22 16:33:51,2025-08-28 19:55:12
FB00065,3,Service friendly community event access available friendly facility family central central available,2023-04-18 11:28:31,2023-04-02 16:21:26,2024-09-28 10:55:58
FB00066,1,Secure book spot gathering community area area secure area community community space,2023-07-15 19:29:17,2024-05-03 00:35:42,2025-05-28 23:18:08
FB00067,3,Friendly book facility spot service spot friendly family central gathering reserve open,2025-09-05 07:17:28,2022-01-30 15:38:15,2024-03-22 11:58:13
FB00068,2,Central community public reserve meeting book book access central area open space,2023-08-15 11:16:05,2022-05-21 02:46:31,2024-06-08 04:25:17
FB00069,1,Nearby space friendly friendly meeting open friendly event service secure service service,2024-09-12 22:22:06,2023-07-24 03:01:54,2024-12-30 03:21:02
FB00070,3,Open secure service meeting community central secure friendly space space public open,2025-11-13 19:28:18,2023-02-02 17:25:42,2025-10-08 12:47:36
FB00071,1,Event gathering friendly public service secure area open available friendly reserve space,2023-04-10 23:55:17,2024-10-09 20:17:47,2025-04-13 14:06:00
FB00072,3,Available open community facility community gathering nearby central available access secure nearby,2024-08-07 03:06:10,2022-10-02 03:29:39,2025-08-31 18:57:04
FB00073,5,Friendly spot facility spot spot friendly public secure friendly available area service,2024-05-21 10:41:03,2022-03-21 03:52:48,2024-02-26 10:55:48
FB00074,2,Book secure nearby meeting secure nearby nearby gathering facility reserve access community,2023-08-07 11:55:59,2023-01-14 03:23:19,2024-05-20 19:06:46
FB00075,5,Spot public public nearby friendly event public spot spot space community event,2025-01-31 19:42:30,2022-06-13 19:59:10,2025-08-14 19:52:53
FB00076,3,Central book public access central event family space event reserve public space,2025-04-19 00:08:45,2022-08-07 17:21:58,2024-02-13 17:05:02
FB00077,3,Access public open central family area event open central reserve public secure,2024-08-21 07:57:08,2022-09-17 06:09:59,2025-11-29 18:33:25
FB00078,2,Nearby community service meeting friendly friendly open service space area book open,2024-12-16 10:39:25,2023-12-07 04:57:33,2025-02-18 21:30:33
FB00079,4,Central meeting area family public access available facility nearby access open meeting,2022-09-20 20:59:38,2023-01-13 23:19:53,2025-08-17 04:22:05
FB00080,2,Public community nearby reserve reserve book public area nearby spot book reserve,2025-11-26 00:30:03,2024-04-26 03:53:38,2024-12-15 07:30:44
FB00081,4,Public reserve friendly family event access book book access area available area,2023-12-25 06:50:41,2023-05-13 17:50:13,2025-05-15 09:58:20
FB00082,4,Community community facility space family space facility meeting access family public meeting,2024-05-22 00:30:04,2024-08-27 19:16:54,2024-03-07 21:21:11
FB00083,4,Event available access book meeting facility gathering open area central community area,2024-09-22 14:00:07,2023-03-25 20:05:18,2025-06-05 23:22:13
FB00084,2,Public reserve service book meeting book friendly reserve community spot family area,2023-08-03 09:10:43,2023-05-16 20:14:30,2025-09-20 20:54:49
FB00085,5,Central available nearby community nearby event book spot spot community open public,2023-09-20 15:28:05,2023-05-30 09:54:03,2025-08-23 07:15:44
FB00086,4,Book nearby spot gathering gathering available family event family gathering friendly service,2024-10-06 08:17:09,2024-06-01 20:28:39,2024-01-17 02:46:36
FB00087,1,Spot public access community facility service reserve public nearby service reserve area,2023-03-16 07:57:15,2024-01-30 03:31:35,2024-02-07 09:20:14
FB00088,1,Central access nearby available family family space central available space meeting spot,2025-07-12 08:46:55,2022-04-01 17:19:51,2025-12-06 10:05:17
FB00089,5,Open friendly reserve central facility nearby friendly family public service area spot,2022-01-01 15:33:01,2023-12-16 12:59:39,2025-04-08 20:15:13
FB00090,2,Community space available community meeting open open reserve reserve open area public,2024-08-01 02:13:51,2024-07-09 08:12:53,2025-09-25 04:53:51
FB00091,1,Public central area available family meeting book open space central facility community,2024-02-07 01:16:44,2024-12-27 06:22:30,2025-12-01 15:18:16
FB00092,1,Space open space access access book open reserve reserve family service central,2025-04-26 21:19:18,2023-11-07 16:29:42,2024-06-10 21:38:12
FB00093,5,Book area access open secure access event available central friendly secure open,2023-08-29 13:40:20,2024-08-10 03:18:50,2025-08-18 04:11:58
FB00094,2,Central area reserve central public facility central spot reserve public service service,2023-04-20 04:36:11,2023-05-08 01:50:52,2025-06-04 22:05:47
FB00095,5,Family area spot event service meeting event public open access family area,2023-03-28 23:09:54,2022-07-03 18:51:29,2024-05-31 22:44:59
FB00096,4,Space reserve service reserve event open meeting secure community friendly friendly friendly,2025-11-15 00:52:52,2022-03-04 03:02:42,2024-11-26 06:00:16
FB00097,5,Space book facility secure access family available space available nearby community public,2023-12-25 11:23:25,2024-02-16 04:11:33,2025-05-31 23:30:21
FB00098,3,Friendly meeting space secure available spot facility facility central space open friendly,2024-10-23 22:38:01,2022-03-28 11:26:11,2025-01-23 17:04:16
FB00099,1,Service facility community community book family gathering available space reserve meeting public,2024-02-13 20:29:53,2022-09-09 08:35:07,2025-02-26 05:26:05
FB00100,3,Service nearby gathering community event open spot reserve spot community facility access,2023-05-08 14:56:03,2024-07-31 22:30:14,2024-12-29 00:37:07
