Notification_ID,Title,Message,Type,Priority,Delivery_Method,Sent_At,Status,Created_At,Updated_At
NT00001,Notice,Friendly nearby family service public space secure central family meeting service family central reserve meeting,push,medium,immediate,2025-08-28 18:08:52,sent,2024-11-22 07:03:29,2025-01-22 06:50:00
NT00002,Notice,Available gathering area book public access book reserve service available book event meeting community family,push,low,scheduled,2025-12-18 15:41:17,sent,2022-08-02 11:16:17,2024-09-14 02:59:29
NT00003,Alert,Family secure meeting nearby gathering gathering friendly friendly family community access area book event book,sms,low,immediate,2023-06-23 17:06:21,failed,2023-09-23 14:58:15,2024-10-13 10:34:49
NT00004,Notice,Spot secure service central friendly reserve gathering spot service open nearby event nearby facility secure,email,high,scheduled,2023-03-18 10:32:51,queued,2022-04-28 10:36:31,2024-09-01 07:27:02
NT00005,Update,Area friendly gathering secure meeting event reserve gathering area public public space spot service reserve,email,high,immediate,2024-02-11 08:46:40,queued,2022-07-07 22:58:09,2025-11-26 07:12:30
NT00006,Alert,Area access event area family family reserve nearby central available service friendly event gathering facility,push,medium,immediate,2023-01-22 06:43:45,sent,2022-02-24 01:04:13,2025-08-23 03:53:11
NT00007,Event,Friendly public public spot central area gathering facility reserve meeting meeting nearby public reserve access,email,high,immediate,2025-03-13 13:23:42,queued,2023-12-10 04:52:33,2024-02-29 02:46:34
NT00008,Event,Available secure family available spot public meeting area service event community public nearby open secure,email,low,immediate,2023-05-31 08:44:35,failed,2023-07-18 12:12:14,2024-12-11 15:13:43
NT00009,Reminder,Space central book family meeting service access reserve secure available friendly event facility gathering access,push,low,immediate,2023-08-27 04:41:20,failed,2022-02-06 01:32:05,2024-07-16 02:00:59
NT00010,Notice,Family gathering gathering available secure friendly gathering book space central area nearby friendly meeting event,email,medium,immediate,2025-06-12 20:49:38,sent,2024-09-21 22:48:20,2025-05-11 15:27:16
NT00011,Notice,Available public area service meeting reserve community area family community service access open meeting facility,push,high,immediate,2025-04-14 01:40:45,sent,2023-04-24 23:29:19,2025-01-18 22:22:24
NT00012,Reminder,Space book facility book available community gathering spot reserve secure meeting open community nearby nearby,push,low,scheduled,2025-05-11 22:44:12,queued,2024-02-09 23:54:44,2024-10-30 20:07:23
NT00013,Notice,Friendly reserve book friendly family space service public friendly spot available spot public spot meeting,push,medium,immediate,2023-12-25 06:55:52,sent,2023-01-14 08:07:12,2024-10-28 05:08:39
NT00014,Alert,Access spot central access book nearby facility gathering public friendly nearby community access reserve event,push,low,immediate,2024-10-29 21:55:57,failed,2023-05-15 18:56:24,2024-05-21 23:55:48
NT00015,Notice,Friendly secure nearby secure family nearby family public public book available event service secure public,push,medium,immediate,2025-06-08 09:41:10,sent,2024-02-23 20:51:32,2025-01-22 12:33:02
NT00016,Alert,Available central area spot secure space secure family friendly secure event event central public secure,sms,medium,immediate,2024-05-07 21:23:39,failed,2024-11-08 09:53:58,2025-10-03 01:28:36
NT00017,Reminder,Secure open friendly community book service available central gathering nearby public nearby gathering area space,email,high,scheduled,2023-02-22 01:44:40,sent,2024-02-08 19:13:01,2024-02-27 22:17:04
NT00018,Event,Space available space reserve space access open available open spot access access public reserve area,sms,medium,immediate,2025-10-11 16:02:36,failed,2023-07-31 14:13:34,2024-06-15 02:07:06
NT00019,Alert,Family reserve friendly access public public community friendly reserve facility available facility gathering community open,push,high,immediate,2024-06-23 00:49:39,failed,2024-12-09 19:25:31,2024-09-26 02:26:42
NT00020,Update,Open facility space public central gathering central area central access facility central facility area nearby,email,high,immediate,2023-06-10 21:57:06,sent,2022-01-01 13:49:45,2024-04-25 07:58:07
NT00021,Alert,Area service book public facility spot event public area space book meeting meeting community nearby,push,medium,immediate,2023-10-16 14:24:10,failed,2024-11-11 01:33:56,2024-04-06 15:41:52
NT00022,Event,Meeting space facility book secure gathering service central central reserve facility service central space secure,push,low,scheduled,2024-01-09 03:43:33,queued,2023-02-01 09:30:22,2025-06-15 15:17:12
NT00023,Update,Spot event secure friendly book access friendly family area secure area public service service nearby,sms,low,scheduled,2024-04-13 20:50:28,failed,2022-02-16 17:56:35,2025-12-20 21:25:50
NT00024,Notice,Reserve access book nearby facility reserve access central area access friendly public friendly gathering community,push,low,immediate,2023-12-17 06:34:11,sent,2023-12-17 11:56:17,2025-11-21 05:47:48
NT00025,Reminder,Nearby book book community event nearby central book access open space book central space spot,sms,high,scheduled,2025-07-24 21:37:59,sent,2024-12-30 09:46:35,2024-08-28 15:39:15
NT00026,Notice,Available meeting service community open family community event community available reserve book service nearby spot,push,medium,scheduled,2023-09-24 10:51:17,queued,2023-11-23 22:11:58,2025-06-08 20:09:13
NT00027,Reminder,Available meeting facility service facility secure central book access gathering open family access gathering open,push,low,immediate,2025-07-14 10:00:31,failed,2022-06-09 22:21:21,2024-03-06 22:51:29
NT00028,Alert,Facility service gathering public available central service reserve open secure event spot facility reserve friendly,push,medium,immediate,2025-03-27 23:25:51,sent,2023-05-02 13:25:23,2024-02-23 09:48:21
NT00029,Reminder,Book family friendly gathering reserve event facility community book open family open reserve family meeting,email,high,scheduled,2025-08-01 21:36:43,failed,2023-02-06 05:06:36,2024-12-27 22:15:35
NT00030,Event,Open area nearby book reserve secure friendly secure area central service central spot public access,sms,low,scheduled,2024-01-18 19:24:26,failed,2024-09-16 06:28:37,2024-12-17 14:09:57
NT00031,Update,Nearby open central area book event available book public family central public reserve gathering community,push,medium,scheduled,2025-03-02 20:20:27,failed,2022-02-02 22:12:18,2024-11-24 17:45:32
NT00032,Event,Secure area open available public book service spot central public facility facility community service reserve,push,low,scheduled,2023-03-19 03:07:53,failed,2023-03-07 14:21:51,2024-11-10 03:12:41
NT00033,Event,Meeting public secure area area open available area access reserve nearby space friendly access event,email,high,scheduled,2023-11-03 23:25:20,sent,2023-08-04 03:10:21,2024-02-06 12:53:01
NT00034,Update,Facility available central public spot facility space reserve public facility meeting public secure service family,sms,medium,immediate,2023-10-08 12:02:50,queued,2024-05-26 15:08:56,2024-02-29 11:48:46
NT00035,Notice,Service friendly access access meeting open facility event event reserve book service event spot nearby,sms,high,scheduled,2023-12-31 18:16:42,sent,2023-09-16 22:22:08,2024-05-01 03:01:16
NT00036,Alert,Nearby community central community community open event available spot family space area available secure nearby,email,medium,scheduled,2023-05-22 07:35:08,sent,2023-10-26 12:22:35,2025-05-07 01:13:48
NT00037,Notice,Area available spot open public event family service gathering spot nearby facility facility family nearby,email,medium,scheduled,2025-06-22 10:39:20,queued,2024-04-26 05:27:02,2024-01-07 04:43:24
NT00038,Event,Secure nearby reserve central meeting central space area secure reserve secure public public secure public,push,low,immediate,2024-09-16 22:43:17,sent,2022-05-01 13:43:54,2024-01-09 03:16:16
NT00039,Notice,Area meeting open reserve facility community open facility service space facility friendly family facility event,push,medium,scheduled,2025-09-17 04:56:22,failed,2022-11-13 20:47:50,2024-02-03 11:50:55
NT00040,Update,Available service friendly book facility family spot reserve gathering service open access public facility space,push,low,immediate,2025-06-26 07:54:38,queued,2023-01-17 01:03:56,2024-11-29 06:37:07
NT00041,Update,Open nearby central area access open public access event family space event spot public family,sms,high,scheduled,2024-05-15 21:01:47,queued,2023-02-21 11:39:29,2025-07-23 11:12:58
NT00042,Event,Access facility available reserve family area secure meeting central spot meeting meeting secure friendly available,push,low,immediate,2025-07-04 21:58:36,queued,2024-06-17 00:05:52,2024-07-10 20:47:27
NT00043,Update,Access open event book spot friendly central reserve area reserve secure public nearby central service,email,low,immediate,2023-07-21 04:54:17,failed,2024-03-24 01:58:35,2025-07-15 06:51:39
NT00044,Update,Community community friendly facility secure book facility service family access book book reserve family book,sms,low,immediate,2025-12-31 14:21:27,sent,2022-03-24 07:21:15,2024-01-18 10:07:35
NT00045,Event,Area gathering space spot friendly event facility event family nearby family spot central space friendly,push,high,immediate,2024-12-14 00:52:29,sent,2023-09-13 07:14:22,2025-05-04 10:05:31
NT00046,Notice,Open available open community access facility area spot space nearby public community open open area,email,high,scheduled,2025-04-19 16:59:12,queued,2022-10-13 01:56:52,2024-04-27 22:03:28
NT00047,Reminder,Public gathering public central community available community public event reserve service access area central reserve,email,low,scheduled,2024-01-30 15:42:30,failed,2023-11-22 07:35:15,2025-07-03 00:29:17
NT00048,Update,Facility family secure friendly public friendly meeting public meeting friendly book available public event community,push,medium,immediate,2023-11-04 21:42:41,failed,2024-02-09 04:41:23,2024-01-18 21:31:56
NT00049,Update,Reserve gathering nearby reserve secure space reserve book secure area book spot public book facility,email,low,immediate,2025-07-18 04:19:11,sent,2023-07-19 06:56:42,2025-03-10 13:04:16
NT00050,Notice,Event gathering event central area community central family friendly community nearby central access gathering open,email,high,scheduled,2024-07-23 02:11:44,sent,2022-05-06 16:07:59,2024-03-28 15:42:01
NT00051,Alert,Family community area public meeting book central event meeting family secure book available area reserve,sms,low,immediate,2023-05-01 04:32:23,sent,2024-01-14 14:45:54,2025-05-23 20:33:00
NT00052,Alert,Gathering family event space access book nearby gathering access open area facility public secure meeting,sms,low,immediate,2023-04-01 20:12:17,sent,2022-08-31 18:43:14,2024-05-05 01:24:36
NT00053,Update,Community central friendly spot public gathering friendly space open service service service secure book access,email,high,immediate,2023-08-10 12:28:40,queued,2022-05-05 16:52:26,2024-03-27 07:07:02
NT00054,Notice,Community facility area facility area space community family gathering service meeting event secure open reserve,email,low,scheduled,2024-01-08 12:42:15,queued,2024-12-17 12:56:14,2025-04-02 15:30:24
NT00055,Alert,Spot facility area spot event nearby secure friendly available open secure central central secure family,sms,low,immediate,2024-12-24 21:18:16,sent,2024-12-10 08:45:29,2024-05-21 17:17:39
NT00056,Reminder,Community nearby access access event event spot friendly friendly space spot book public meeting community,push,medium,immediate,2023-05-20 20:29:43,queued,2023-07-07 20:54:17,2024-01-04 11:28:13
NT00057,Update,Book reserve event open meeting available community spot available spot facility central friendly service facility,email,high,immediate,2024-02-11 16:51:58,queued,2024-06-18 04:22:45,2025-02-28 13:54:58
NT00058,Notice,Spot meeting access gathering space area meeting community facility meeting area open event open reserve,push,high,scheduled,2023-08-22 22:13:45,failed,2022-01-31 02:26:21,2025-12-29 09:36:57
NT00059,Update,Family secure nearby public area space facility central secure public access secure book book available,push,high,scheduled,2023-07-14 19:52:12,sent,2023-04-27 13:26:54,2025-12-01 22:23:56
NT00060,Notice,Service service nearby spot central family space access community secure service spot meeting book community,email,high,scheduled,2024-06-16 11:04:20,queued,2022-10-11 05:51:05,2024-05-03 16:25:51
NT00061,Event,Service reserve area nearby nearby gathering central service space community service access event book secure,email,low,scheduled,2023-06-24 10:54:23,queued,2024-04-05 03:19:53,2025-10-25 03:03:34
NT00062,Update,Service facility secure meeting open book spot service facility friendly spot nearby central facility available,sms,low,scheduled,2024-04-14 04:17:35,failed,2022-07-01 21:09:09,2025-03-09 04:05:44
NT00063,Event,Access facility spot area facility book secure spot area reserve gathering friendly facility friendly secure,push,high,scheduled,2024-01-08 10:39:44,queued,2022-04-03 22:01:05,2025-03-07 23:17:20
NT00064,Event,Secure gathering service reserve central access meeting service open access open event gathering open central,push,low,scheduled,2024-07-17 19:45:22,queued,2022-09-14 00:00:44,2025-05-29 20:53:38
NT00065,Update,Meeting access book area community access nearby gathering open nearby service available space community secure,email,medium,immediate,2024-03-15 04:06:44,queued,2023-05-24 13:01:30,2025-11-08 21:50:02
NT00066,Update,Nearby family reserve public area reserve family event nearby community meeting spot space event secure,email,low,scheduled,2024-07-24 10:59:55,failed,2022-10-24 09:32:44,2024-05-07 22:26:17
NT00067,Reminder,Access book family book meeting friendly access secure facility reserve family central space service reserve,push,high,immediate,2023-01-06 14:35:21,failed,2022-10-25 03:31:40,2024-10-05 02:53:55
NT00068,Alert,Meeting service nearby friendly secure available central available central service available service secure area nearby,sms,high,scheduled,2024-09-30 18:26:57,failed,2023-10-02 03:17:15,2024-12-01 12:23:21
NT00069,Notice,Meeting event book public available reserve book space book facility gathering book gathering book gathering,email,medium,immediate,2025-05-15 02:15:09,sent,2024-03-19 07:32:30,2025-03-07 11:26:47
NT00070,Update,Access reserve public service meeting gathering space facility community spot book event public service spot,email,low,scheduled,2025-02-09 13:39:17,queued,2023-07-16 20:16:14,2025-09-20 15:50:04
NT00071,Alert,Facility space friendly meeting community friendly event access gathering friendly event family spot friendly event,sms,low,immediate,2025-11-03 22:09:31,sent,2024-05-20 04:45:51,2024-09-05 13:27:14
NT00072,Event,Friendly family friendly family open access reserve space gathering event available area space book book,email,low,immediate,2023-12-25 05:32:23,failed,2023-01-06 16:27:14,2025-03-14 17:25:00
NT00073,Alert,Event public event space community space meeting nearby space central family secure meeting friendly available,email,low,immediate,2023-08-10 17:16:44,queued,2024-11-23 14:25:15,2025-05-07 18:00:19
NT00074,Notice,Public family open spot central access friendly community secure access nearby access meeting open secure,email,low,immediate,2023-12-04 01:56:48,sent,2024-12-18 09:08:49,2024-08-22 17:25:47
NT00075,Event,Area event spot gathering friendly community spot nearby available gathering meeting service event public spot,email,high,scheduled,2024-06-02 13:10:51,failed,2022-04-07 01:08:40,2025-11-23 15:37:40
NT00076,Event,Event gathering book event public open family public central open reserve access friendly available reserve,sms,high,immediate,2025-07-12 15:57:40,failed,2023-02-27 08:50:36,2025-11-11 10:41:05
NT00077,Update,Facility community family spot gathering open space facility reserve book space secure available gathering area,email,medium,scheduled,2024-02-03 01:12:31,failed,2023-04-16 11:49:58,2025-07-12 18:18:54
NT00078,Update,Meeting family event area event community central reserve available public space family access service service,email,medium,scheduled,2023-12-19 10:09:09,failed,2023-06-05 13:05:15,2024-09-24 09:32:06
NT00079,Alert,Space service secure family book facility available facility friendly public available book central reserve event,push,high,immediate,2023-10-29 19:32:17,failed,2024-10-25 18:39:33,2025-11-07 09:18:03
NT00080,Notice,Reserve secure spot access spot service open family book space nearby event spot public facility,sms,medium,immediate,2024-06-03 13:43:13,sent,2022-03-16 03:15:36,2025-09-04 19:40:37
NT00081,Alert,Reserve open public area spot area access service area friendly open public available service community,email,high,immediate,2023-12-20 18:49:34,queued,2022-04-12 21:02:49,2025-07-24 07:43:19
NT00082,Update,Public community public open open community space service facility gathering community community secure spot family,push,medium,scheduled,2023-09-07 00:24:28,queued,2022-06-21 10:45:28,2024-07-12 13:34:06
NT00083,Alert,Friendly meeting central area spot central available available space service community facility access friendly family,push,low,immediate,2024-10-06 11:15:44,failed,2023-10-10 03:33:20,2024-02-05 00:07:58
NT00084,Update,Reserve nearby facility friendly central community secure meeting event reserve gathering secure event central community,sms,high,scheduled,2025-05-14 09:46:55,sent,2022-06-01 00:28:29,2025-10-24 14:18:29
NT00085,Event,Meeting space space secure nearby area meeting secure service public available central spot friendly facility,push,high,immediate,2025-01-22 20:27:02,sent,2024-05-30 15:16:49,2025-07-15 07:21:56
NT00086,Event,Spot gathering reserve spot access gathering facility community area access spot family spot facility nearby,push,high,scheduled,2023-05-29 13:15:21,sent,2024-01-30 21:31:50,2025-03-15 06:34:32
NT00087,Event,Facility space facility gathering book area community space access reserve nearby facility nearby service spot,email,medium,immediate,2024-09-11 02:51:50,queued,2022-01-12 20:48:45,2025-01-12 05:04:05
NT00088,Reminder,Friendly gathering service nearby public facility meeting space reserve facility gathering open space service friendly,push,high,immediate,2024-07-28 03:20:45,queued,2024-04-04 05:00:57,2025-03-22 09:41:40
NT00089,Update,Open available facility service space space reserve nearby family reserve gathering central public spot book,sms,medium,immediate,2024-10-15 15:50:31,queued,2022-09-16 00:06:18,2025-08-14 05:09:11
NT00090,Update,Secure gathering secure reserve community reserve space gathering central family access nearby facility area public,sms,low,immediate,2024-11-02 10:11:39,sent,2022-04-30 03:14:20,2025-05-12 18:56:19
NT00091,Notice,Open book reserve area public access gathering central central friendly gathering facility space gathering spot,push,low,immediate,2023-08-26 20:54:42,failed,2022-01-03 22:13:28,2024-07-01 16:53:14
NT00092,Reminder,Nearby book event access reserve community gathering central family access secure public community facility secure,push,medium,immediate,2023-01-10 17:37:01,failed,2022-06-27 18:21:23,2025-08-10 11:22:08
NT00093,Notice,Reserve book area available friendly service access spot area family event spot meeting facility public,push,low,immediate,2025-08-29 07:21:40,failed,2022-06-19 07:45:46,2024-03-13 01:17:35
NT00094,Event,Event open friendly book access book space family area family friendly gathering meeting friendly secure,sms,low,scheduled,2025-12-21 02:12:06,failed,2023-07-14 19:52:02,2025-03-21 01:25:01
NT00095,Alert,Access spot area reserve meeting meeting service open event open secure gathering nearby central nearby,sms,medium,immediate,2023-04-08 12:02:44,failed,2022-04-19 16:13:14,2025-03-30 10:04:27
NT00096,Reminder,Gathering access event space nearby open spot reserve community community central central event community available,sms,high,immediate,2023-07-28 08:30:14,sent,2022-06-20 03:38:42,2025-04-18 18:28:40
NT00097,Alert,Space nearby community event meeting central book space reserve open community reserve gathering area secure,sms,high,immediate,2023-12-29 00:01:25,sent,2022-10-04 06:38:06,2025-03-24 11:25:23
NT00098,Notice,Gathering nearby community family friendly book space event event family central central event friendly book,push,medium,scheduled,2024-11-26 01:09:53,failed,2023-08-02 01:35:44,2025-05-19 03:38:13
NT00099,Alert,Reserve secure facility spot central reserve spot gathering community area friendly space community gathering nearby,push,low,scheduled,2023-01-25 07:24:02,queued,2022-08-31 00:06:33,2024-10-11 12:40:40
NT00100,Update,Central family access service book friendly space service available central nearby nearby event available family,push,medium,scheduled,2024-05-13 13:36:34,queued,2023-11-29 05:20:03,2024-02-16 13:09:22
